Sigtaara,IPA,Romanized,Part of speech,English,Alternate Meaning 1,Alternate Meaning 2,Alternate Meaning 3,Alternate Meaning 4
LE,/lɛ/,le,conj.,lest,,,,
REHYXIL,/rɛhjksil/,rehyxil,v.,let, allow (let), approve, enable,
KAK,/kɑk/,kak,v.,let, allow (let), approve, enable, permit
JAN,/dʒɑn/,jan,v.,let, allow (let), enable, permit, approve
YɔKIL,/jɔkil/,yookil,adj.,lethal, fatal,,,
KIZYEG,/kizjəg/,kizyeg,n.,letter (of an alphabet),,,,
ZUG,/zug/,zug,n.,letter (written document),,,,
WEMɔKYK,/wɛmɔkjk/,wemookyk,n.,lettuce,,,,
FOSEKÚZ,/fosɛkurz/,fosekurz,n.,level (degree, stage), rank (position),,
PÍTÂK,/pirtɑhk/,pirtaak,n.,level (degree, stage),,,
NɔDATOG,/nɔdɑtog/,noodatog,n.,lever, pedal, trigger,,
KEMESOL,/kɛmɛsol/,kemesol,n.,lever,,,,
YÍTÂS,/jirtɑhs/,yirtaas,n.,leverage,,,,
YUMISIN,/jumisin/,yumisin,n.,liar,,,,
DENLÚT,/dɛnlurt/,denlurt,v.,liberate,,,,
ROMÄ,/romæ/,roma',n.,liberty,,,,
DOTMESÂK,/dotmɛsɑhk/,dotmesaak,n.,library,,,,
YIZKÍ,/jizkir/,yizkir,n.,license,,,,
BIH,/bih/,bih,v.,lick,,,,
FAYUGYN,/fɑjugjn/,fayugyn,n.,lid,,,,
WɔH,/wɔh/,wooh,v.,lie,,,,
YEZIL,/jəzil/,yezil,n.,lie,,,,
LO,/lo/,lo,v.,lie, deceive,,,
LOÍ,/loir/,loir,n.,lie, deception,,,
NOK,/nok/,nok,v.,lie (buried), rest (as in death),,,
LASÍ,/lɑsir/,lasir,n.,life,,,,
RÄWÍ,/ræwir/,ra'wir,n.,life (lifetime), life (soul),,,
HANMELYK,/hɑnmɛljk/,hanmelyk,n.,life (lifetime),,,,
ZETɔH,/zɛtɔh/,zetooh,n.,life (living organism),,,,
MɔYO,/mɔjo/,mooyo,n.,life (soul), soul,,,
VÂ,/vɑh/,vaa,v.,lift, climb, boost,,
TEKPÍZɔT,/tɛkpirzɔt/,tekpirzoot,v.,lift,,,,
KUN,/kun/,kun,n.,light,,,,
NAJE,/nɑdʒə/,naje,v.,light, shine,,,
MUNMɔKIT,/munmɔkit/,munmookit,adj.,light (weight), easy,,,
MOSIZ,/mosiz/,mosiz,adj.,light (weight),,,,
QO,/kwo/,qo,n.,lightning,,,,
GOTÁ,/gotaɪ̯/,gotaii̯,v.,like, admire,,,
POK,/pok/,pok,v.,like, love, enjoy,,
MED,/mɛd/,med,prep.,like, similar to,,,
KOH,/koh/,koh,prep.,like,,,,
GÄRÄKYH,/gærækjh/,ga'ra'kyh,v.,like, love,,,
MIFAZ,/mifɑz/,mifaz,n.,limb, branch (tree part),,,
GOKJOHÚL,/gokdʒohurl/,gokjohurl,n.,limb,,,,
WEKBON,/wɛkbon/,wekbon,n.,lime,,,,
JIKɔK,/dʒikɔk/,jikook,n.,limit, border, boundary,,
DEN,/dən/,den,v.,limp,,,,
HIWÚZɔT,/hiwurzɔt/,hiwurzoot,n.,line, stripe, column,,
VEYE,/vəjə/,veye,n.,line,,,,
YÚFE,/jurfə/,yurfe,n.,linen,,,,
RÄH,/ræh/,ra'h,v.,linger,,,,
VIKÚGɔT,/vikurgɔt/,vikurgoot,n.,linguistics,,,,
JEDIS,/dʒɛdis/,jedis,n.,link,,,,
BETILIH,/bətilih/,betilih,n.,lion,,,,
Dɔ,/dɔ/,doo,n.,lip,,,,
KÚASIK,/kurɑsik/,kurasik,n.,lipstick,,,,
MENIZKEK,/mɛnizkɛk/,menizkek,n.,liquid,,,,
MÍSMUT,/mirsmut/,mirsmut,n.,liquor,,,,
SATKAN,/sɑtkɑn/,satkan,n.,list,,,,
WAG,/wɑg/,wag,v.,listen,,,,
GAG,/gɑg/,gag,n.,literature,,,,
SɔSPÄGɔT,/sɔspægɔt/,soospa'goot,adj.,little,,,,
LAS,/lɑs/,las,v.,live,,,,
KÂYAT,/kɑhjɑt/,kaayat,adj.,live,,,,
JETɔ,/dʒɛtɔ/,jetoo,n.,liver,,,,
KÄNAL,/kænɑl/,ka'nal,adj.,living, alive,,,
MEKHU,/mɛkhu/,mekhu,n.,lizard,,,,
ZEGTUZSOS,/zɛgtuzsos/,zegtuzsos,n.,lizardborn (race),,,,
WIZLÂT,/wizlɑht/,wizlaat,n.,load,,,,
KOFE,/kofɛ/,kofe,n.,loaf,,,,
BONSAS,/bonsɑs/,bonsas,n.,loaf, cake,,,
GEWUK,/gəwuk/,gewuk,n.,lobby,,,,
BÚSÄN,/bursæn/,bursa'n,n.,lobster,,,,
TUS,/tus/,tus,adj.,local,,,,
NOPÂ,/nopɑh/,nopaa,n.,location, address,,,
MEHLEHɔK,/mɛhlɛhɔk/,mehlehook,n.,lock,,,,
KUFɔTOS,/kufɔtos/,kufootos,n.,locker,,,,
FÄLMÂTIS,/fælmɑhtis/,fa'lmaatis,n.,locksmith,,,,
JIKEHYT,/dʒikəhjt/,jikehyt,n.,log,,,,
JÄPAL,/dʒæpɑl/,ja'pal,n.,log, stick,,,
KIME,/kimɛ/,kime,adj.,logical,,,,
HUNÂK,/hunɑhk/,hunaak,n.,logo,,,,
KÄLINGRA,/kælingrɑ/,ka'lingra,adj.,long, enduring, lasting,,
GEL,/gəl/,gel,adj.,long,,,,
ZÄS,/zæs/,za's,v.,long (want for),,,,
PÄDOTON,/pædoton/,pa'doton,n.,look, appearance (looks),,,
SEZÂ,/sɛzɑh/,sezaa,v.,look out, watch out,,,
ZEK,/zɛk/,zek,n.,loop,,,,
LÚLJULIK,/lurldʒulik/,lurljulik,adj.,loose,,,,
HOH,/hoh/,hoh,n.,lord,,,,
MUS,/mus/,mus,v.,lose,,,,
FÚNEHÂK,/furnəhɑhk/,furnehaak,n.,loser,,,,
TESOS,/təsos/,tesos,n.,loss,,,,
KÄPAZIN,/kæpɑzin/,ka'pazin,n.,lot,,,,
MENOK,/mɛnok/,menok,n.,lottery,,,,
BÂNAGɔG,/bɑhnɑgɔg/,baanagoog,adj.,loud, noisy,,,
BÚT,/burt/,burt,n.,lounge, couch, sofa,,
PITɔKɔH,/pitɔkɔh/,pitookooh,n.,louse,,,,
RÍMA,/rirmɑ/,rirma,v.,love,,,,
YUDA,/judɑ/,yuda,v.,love, admire,,,
MÂIS,/mɑhis/,maais,n.,lover,,,,
POMEKIH,/pomɛkih/,pomekih,n.,lower class,,,,
BÄWIKɔZ,/bæwikɔz/,ba'wikooz,adj.,loyal,,,,
GɔWUSɔN,/gɔwusɔn/,goowusoon,n.,luck, fluke,,,
FÚKIT,/furkit/,furkit,adj.,lucky,,,,
SÄK,/sæk/,sa'k,n.,luggage, baggage,,,
NEKIN,/nəkin/,nekin,n.,lump,,,,
NÄHGɔK,/næhgɔk/,na'hgook,n.,lunch,,,,
YÚDIN,/jurdin/,yurdin,n.,lung,,,,
HÍDɔ,/hirdɔ/,hirdoo,v.,lure,,,,
MOHɔH,/mohɔh/,mohooh,adj.,lush,,,,
WESKEH,/wɛskɛh/,weskeh,n.,lust,,,,
MISMIZ,/mismiz/,mismiz,n.,luxury,,,,
DɔHÂ,/dɔhɑh/,doohaa,n.,lyrics,,,,
PISITIT,/pisitit/,pisitit,n.,machine, device, gadget, fixture,
LÍHÄK,/lirhæk/,lirha'k,n.,machine,,,,
JEGMɔZÚH,/dʒɛgmɔzurh/,jegmoozurh,n.,mafia, mob,,,
WISRENɔK,/wisrənɔk/,wisrenook,n.,magazine,,,,
MOG,/mog/,mog,n.,magic,,,,
LÂSHOSIH,/lɑhshosih/,laashosih,n.,magnet,,,,
KÄRÄ,/kæræ/,ka'ra',n.,maid,,,,
YOSFOKIN,/josfokin/,yosfokin,n.,mail,,,,
RERE,/rɛrə/,rere,adj.,main, premier,,,
KÍHOG,/kirhog/,kirhog,adj.,main,,,,
WIPIGIZ,/wipigiz/,wipigiz,adj.,major,,,,
WEHÍHIL,/wɛhirhil/,wehirhil,v.,make, create, induce,,
GIHAS,/gihɑs/,gihas,v.,make, produce (manufacture), build, construct, generate
NÂT,/nɑht/,naat,v.,make, create, cause,,
DILOS,/dilos/,dilos,v.,make or become deadly,,,,
NOROK,/norok/,norok,v.,make or become fierce,,,,
LOT,/lot/,lot,v.,make or become great,,,,
KRILOT,/krilot/,krilot,v.,make or become valiant,,,,
BALAN,/bɑlɑn/,balan,v.,make or become worthy,,,,
KA,/kɑ/,ka,v.,make proud,,,,
DWIN,/dwin/,dwin,v.,make steel,,,,
WEHISÚT,/wəhisurt/,wehisurt,n.,male, guy,,,
LÍBEK,/lirbək/,lirbek,n.,male,,,,
MÍNOSOL,/mirnosol/,mirnosol,n.,mall,,,,
DUWANIH,/duwɑnih/,duwanih,n.,mammal,,,,
TINI,/tini/,tini,n.,man,,,,
MUGMÂTOH,/mugmɑhtoh/,mugmaatoh,n.,man, guy,,,
RÍHWU,/rirhwu/,rirhwu,n.,man, boyfriend, guy,,
LA,/lɑ/,la,n.,mana,,,,
GIN,/gin/,gin,v.,manage,,,,
SANHIS,/sɑnhis/,sanhis,n.,manager,,,,
YUSPÄ,/juspæ/,yuspa',n.,mane,,,,
MɔHɔZ,/mɔhɔz/,moohooz,v.,manifest,,,,
SOL,/sol/,sol,v.,manipulate,,,,
TEFESOK,/tɛfɛsok/,tefesok,n.,manner,,,,
JIL,/dʒil/,jil,n.,mansion, palace,,,
KOKNÄSIS,/koknæsis/,kokna'sis,n.,mansion,,,,
DILTAZɔK,/diltɑzɔk/,diltazook,n.,manual,,,,
WEGYLWE,/wɛgjlwɛ/,wegylwe,adj.,manual,,,,
JEK,/dʒɛk/,jek,v.,manufacture,,,,
POGAN,/pogɑn/,pogan,det.,many,,,,
KÄPOGAN,/kæpogɑn/,ka'pogan,adj.,many, numerous,,,
MIKBUK,/mikbuk/,mikbuk,n.,map, menu,,,
VIHPÂNɔN,/vihpɑhnɔn/,vihpaanoon,n.,map,,,,
YÍTAKIS,/jirtɑkis/,yirtakis,n.,marathon,,,,
RUG,/rug/,rug,v.,march,,,,
SOSE,/sosə/,sose,n.,margin,,,,
NAKZÂN,/nɑkzɑhn/,nakzaan,v.,marinate,,,,
GÂK,/gɑhk/,gaak,v.,mark,,,,
WEWÄ,/wɛwæ/,wewa',n.,market,,,,
FÚLKɔ,/furlkɔ/,furlkoo,v.,marry,,,,
SIYUHÂL,/sijuhɑhl/,siyuhaal,n.,mask,,,,
DWÍOKTUZ,/dwiroktuz/,dwiroktuz,n.,mason,,,,
TIMÂ,/timɑh/,timaa,n.,mass,,,,
DELÂK,/dəlɑhk/,delaak,n.,massacre, genocide,,,
LEGEN,/lɛgən/,legen,n.,massacre,,,,
WOL,/wol/,wol,v.,massage,,,,
RU,/ru/,ru,adj.,massive, enormous,,,
DROGÍ,/drogir/,drogir,n.,master,,,,
DROG,/drog/,drog,v.,master,,,,
IN,/in/,in,v.,master (a skill or role),,,,
INTUZ,/intuz/,intuz,n.,master (of a skill or role),,,,
INIZ,/iniz/,iniz,n.,mastery (of a skill or role),,,,
RUL,/rul/,rul,v.,masturbate,,,,
HISTI,/histi/,histi,n.,mat,,,,
MEKNE,/məknə/,mekne,n.,mat, rug,,,
MEKI,/məki/,meki,n.,match (for fire),,,,
SUSYÄ,/susjæ/,susya',n.,match (game), contest,,,
KÂZ,/kɑhz/,kaaz,adj.,material,,,,
SEMEKIK,/səməkik/,semekik,n.,mathematics,,,,
LÂS,/lɑhs/,laas,v.,matter,,,,
HEKFETIS,/hɛkfətis/,hekfetis,n.,matter (substance, material),,,
YÚH,/jurh/,yurh,n.,mattress, cushion,,,
YEMAKYH,/jɛmɑkjh/,yemakyh,n.,mattress,,,,
SEJÂL,/sɛdʒɑhl/,sejaal,adj.,mature, ripe,,,
SɔLÚ,/sɔlur/,soolur,adj.,mature,,,,
JOT,/dʒot/,jot,n.,maw, jaw,,,
ZEZ,/zɛz/,zez,v.,may,,,,
AL,/ɑl/,al,v.,may, might, to express possibility, wish, or prayer
BÄSTUZ,/bæstuz/,ba'stuz,adv.,maybe, perhaps,,,
KUT,/kut/,kut,n.,maze,,,,
KROKIP,/krokip/,krokip,n.,meal,,,,
BOZKEKÂL,/bozkəkɑhl/,bozkekaal,adj.,mean, vicious,,,
MÍTYEK,/mirtjək/,mirtyek,adj.,mean,,,,
KÍLTɔS,/kirltɔs/,kirltoos,v.,mean (intend),,,,
Nɔ,/nɔ/,noo,v.,mean (signify), express,,,
DESÍ,/dɛsir/,desir,v.,mean (signify), imply,,,
ZEKRÁNɔT,/zəkraɪ̯nɔt/,zekraii̯noot,v.,mean (signify),,,,
WÍZ,/wirz/,wirz,v.,measure, calculate,,,
GUKZEZɔK,/gukzəzɔk/,gukzezook,v.,measure,,,,
YÚKULIZ,/jurkuliz/,yurkuliz,n.,meat,,,,
KÂMEK,/kɑhmɛk/,kaamek,n.,meat, flesh,,,
GIT,/git/,git,n.,medal, badge,,,
TÂQɔG,/tɑhkwɔg/,taaqoog,n.,media,,,,
HÚVEZIS,/hurvɛzis/,hurvezis,adj.,medical,,,,
VENÚK,/vənurk/,venurk,n.,medicine,,,,
ZUHMAK,/zuhmɑk/,zuhmak,v.,meditate,,,,
TUMOKɔZ,/tumokɔz/,tumokooz,adj.,medium,,,,
SONELÂT,/sonɛlɑht/,sonelaat,n.,medium,,,,
BEXAZYK,/bəksɑzjk/,bexazyk,v.,meet, find,,,
GRIND,/grind/,grind,v.,meet, encounter,,,
YI,/ji/,yi,v.,meet, encounter, confront,,
NITROKOZ,/nitrokoz/,nitrokoz,n.,meeting,,,,
GRINDÍ,/grindir/,grindir,n.,meeting, encounter,,,
RUKɔNTI,/rukɔnti/,rukoonti,n.,melody, tune, chorus,,
MIMɔ,/mimɔ/,mimoo,n.,melody, tune,,,
YOH,/joh/,yoh,v.,melt, dissolve,,,
LIKOKMÄ,/likokmæ/,likokma',n.,member,,,,
NOROT,/norot/,norot,n.,membrane,,,,
ZONIT,/zonit/,zonit,n.,memento,,,,
PÍBUSOT,/pirbusot/,pirbusot,n.,memory,,,,
TOT,/tot/,tot,v.,mention,,,,
MÚSÄNYN,/mursænjn/,mursa'nyn,n.,menu,,,,
BUSDÄKÚZ,/busdækurz/,busda'kurz,n.,merchandise,,,,
AZÍ,/ɑzir/,azir,n.,mercy, respite,,,
TÂNKɔKIL,/tɑhnkɔkil/,taankookil,adj.,mere,,,,
FÍH,/firh/,firh,v.,merge, incorporate,,,
RIMAN,/rimɑn/,riman,n.,mess,,,,
DUTROSÚH,/dutrosurh/,dutrosurh,n.,message,,,,
NIDU,/nidu/,nidu,adj.,messy,,,,
BEMɔLOK,/bəmɔlok/,bemoolok,n.,metal,,,,
PÍKVEGIL,/pirkvɛgil/,pirkvegil,n.,metro,,,,
MÂLIK,/mɑhlik/,maalik,n.,metropolis,,,,
KÂZÂNKEN,/kɑhzɑhnkən/,kaazaanken,adj.,middle,,,,
LɔYES,/lɔjəs/,looyes,n.,middle class,,,,
WIGINOL,/wiginol/,wiginol,n.,midnight,,,,
WIKOHYL,/wikohjl/,wikohyl,n.,midriff,,,,
WOSYZDÂ,/wosjzdɑh/,wosyzdaa,v.,might,,,,
SAROT,/sɑrot/,sarot,adj.,mighty, great, significant,,
FUT,/fut/,fut,v.,migrate,,,,
HAJOHON,/hɑdʒohon/,hajohon,n.,military,,,,
KIBÍ,/kibir/,kibir,n.,militia,,,,
WAZɔS,/wɑzɔs/,wazoos,n.,milk,,,,
JÂFEHÚL,/dʒɑhfɛhurl/,jaafehurl,n.,milk, semen,,,
FES,/fəs/,fes,n.,millennium,,,,
KɔL,/kɔl/,kool,num.,million,,,,
KÍS,/kirs/,kirs,v.,mimic, mock,,,
HADRIM,/hɑdrim/,hadrim,n.,mind,,,,
YɔL,/jɔl/,yool,n.,mind (thinking faculty), brain,,,
RUT,/rut/,rut,n.,mind (thinking faculty),,,,
HEPENIT,/hɛpɛnit/,hepenit,adj.,miniature,,,,
DÄGNÚL,/dægnurl/,da'gnurl,n.,ministry,,,,
SÍSTɔ,/sirstɔ/,sirstoo,adj.,minor, mere, petty,,
GɔZ,/gɔz/,gooz,adj.,minor, petty,,,
PÄ,/pæ/,pa',n.,minute,,,,
NEKTIKYT,/nəktikjt/,nektikyt,n.,miracle,,,,
SUZMISYS,/suzmisjs/,suzmisys,n.,mirror,,,,
FIKÍ,/fikir/,fikir,n.,mirror, reflection,,,
FIK,/fik/,fik,v.,mirror, reflect,,,
MOHON,/mohon/,mohon,v.,miss (long for),,,,
KUZ,/kuz/,kuz,v.,miss (not hit), miss (not take advantage of),,,
MEGYIGYT,/mɛgjigjt/,megyigyt,v.,miss (not hit),,,,
MUPI,/mupi/,mupi,v.,miss (not take advantage of),,,,
POYOK,/pojok/,poyok,n.,mission,,,,
SUJɔNÚK,/sudʒɔnurk/,sujoonurk,n.,mist,,,,
LUKJUNÂZ,/lukdʒunɑhz/,lukjunaaz,n.,mistake, error, defect,,
DÂLÍ,/dɑhlir/,daalir,n.,mistake, error,,,
MÄNMETÚG,/mænmɛturg/,ma'nmeturg,n.,mistress,,,,
HAK,/hɑk/,hak,v.,mix, weave,,,
LɔNES,/lɔnəs/,loones,v.,mix,,,,
RÂN,/rɑhn/,raan,v.,moan,,,,
FÚZ,/furz/,furz,adj.,mobile, portable,,,
MÄTU,/mætu/,ma'tu,v.,mock, imitate,,,
YENVɔ,/jɛnvɔ/,yenvoo,v.,modify,,,,
KÍDÚH,/kirdurh/,kirdurh,n.,moisture,,,,
WOHUNYH,/wohunjh/,wohunyh,n.,moisture, dew,,,
PÍKMÚ,/pirkmur/,pirkmur,v.,mold,,,,
KɔHPIKɔN,/kɔhpikɔn/,koohpikoon,n.,mold,,,,
YIKɔH,/jikɔh/,yikooh,n.,molecule,,,,
MɔKEZÚK,/mɔkɛzurk/,mookezurk,n.,money, coin,,,
KÚZA,/kurzɑ/,kurza,n.,money,,,,
WÂKA,/wɑhkɑ/,waaka,n.,money, wealth,,,
LOWIHɔZ,/lowihɔz/,lowihooz,v.,monitor,,,,
YESMIKIT,/jəsmikit/,yesmikit,n.,monster,,,,
BÄMÄ,/bæmæ/,ba'ma',n.,month,,,,
HUMÍZIN,/humirzin/,humirzin,n.,mood,,,,
MADU,/mɑdu/,madu,n.,moon,,,,
SEFEGɔK,/sɛfɛgɔk/,sefegook,adj.,moral,,,,
DUNɔT,/dunɔt/,dunoot,det.,more,,,,
JO,/dʒo/,jo,n.,morning,,,,
JɔR,/dʒɔr/,joor,n.,mortal,,,,
BASAZ,/bɑsɑz/,basaz,n.,mosquito,,,,
JÚDE,/dʒurdə/,jurde,n.,moss,,,,
MUK,/muk/,muk,adv.,most,,,,
VÍHNÂSOL,/virhnɑhsol/,virhnaasol,n.,mother,,,,
LÚL,/lurl/,lurl,n.,motif,,,,
GÄHKɔSYH,/gæhkɔsjh/,ga'hkoosyh,n.,mountain,,,,
HɔK,/hɔk/,hook,v.,mourn,,,,
DASMISOL,/dɑsmisol/,dasmisol,n.,mouse,,,,
VAZIT,/vɑzit/,vazit,n.,mouse, rat,,,
SEHKI,/sɛhki/,sehki,n.,mouth,,,,
PE,/pə/,pe,v.,move,,,,
RÂGÄH,/rɑhgæh/,raaga'h,n.,movement, motion,,,
GIJÚ,/gidʒur/,gijur,det.,much,,,,
NÚH,/nurh/,nurh,n.,mud,,,,
YEH,/jəh/,yeh,n.,mug,,,,
WÍNSɔK,/wirnsɔk/,wirnsook,n.,mule,,,,
WEWÍ,/wɛwir/,wewir,v.,multiply,,,,
BOS,/bos/,bos,v.,mumble,,,,
TAK,/tɑk/,tak,n.,mural,,,,
KRIVE,/krivə/,krive,v.,murder,,,,
KRIVEÍ,/krivəir/,kriveir,n.,murder,,,,
KRIVETUZ,/krivətuz/,krivetuz,n.,murderer,,,,
NÍNTETON,/nirntɛton/,nirnteton,v.,murmur,,,,
KEL,/kəl/,kel,v.,murmur, mumble,,,
KUSHEKÚZ,/kushɛkurz/,kushekurz,n.,muscle,,,,
YETɔ,/jətɔ/,yetoo,n.,museum,,,,
TIJU,/tidʒu/,tiju,n.,music,,,,
LOVASÍ,/lovɑsir/,lovasir,n.,music, song,,,
YUT,/jut/,yut,v.,must, have to,,,
FÂZTÚHÂL,/fɑhzturhɑhl/,faazturhaal,n.,mustache,,,,
LAVRAN,/lɑvrɑn/,lavran,v.,muster, gather,,,
LAVRANÍ,/lɑvrɑnir/,lavranir,n.,mustering, gathering,,,
DI,/di/,di,pron.,my, mine,,,
MISUGÂG,/misugɑhg/,misugaag,n.,mystery,,,,
HÚPOG,/hurpog/,hurpog,n.,myth,,,,
DOS,/dos/,dos,v.,nag, bother,,,
KUBU,/kubu/,kubu,v.,nag,,,,
VÚKÂ,/vurkɑh/,vurkaa,n.,nail,,,,
JÄNPI,/dʒænpi/,ja'npi,adj.,naive,,,,
NEL,/nɛl/,nel,adj.,naked, nude, bald,,
NÚGÚLKI,/nurgurlki/,nurgurlki,adj.,naked, nude,,,
NÄBI,/næbi/,na'bi,n.,name,,,,
JÚL,/dʒurl/,jurl,v.,name, dub,,,
VULTÚ,/vultur/,vultur,v.,nap,,,,
JATKÚKɔK,/dʒɑtkurkɔk/,jatkurkook,n.,napkin,,,,
LEKYKJOK,/lɛkjkdʒok/,lekykjok,adj.,narrow,,,,
SEGBɔ,/səgbɔ/,segboo,n.,nation,,,,
WALÂL,/wɑlɑhl/,walaal,adj.,national,,,,
SEVɔ,/sɛvɔ/,sevoo,adj.,native,,,,
PIZOG,/pizog/,pizog,adj.,natural,,,,
DOHYONON,/dohjonon/,dohyonon,n.,nature, essence,,,
MEDÚS,/mɛdurs/,medurs,v.,navigate,,,,
RINGUHIG,/ringuhig/,ringuhig,n.,navy,,,,
LOHPÄNɔH,/lohpænɔh/,lohpa'nooh,prep.,near,,,,
BÁ,/baɪ̯/,baii̯,adj.,neat,,,,
TUME,/tumɛ/,tume,adj.,necessary,,,,
RÄ,/ræ/,ra',n.,neck,,,,
JOPIL,/dʒopil/,jopil,n.,necklace,,,,
DES,/dɛs/,des,n.,need,,,,
WÚNI,/wurni/,wurni,v.,need (require), need (lack),,,
KÍKYN,/kirkjn/,kirkyn,n.,needle, pin,,,
FÄZTÄSÚG,/fæztæsurg/,fa'zta'surg,n.,needle,,,,
YUN,/jun/,yun,v.,neglect, overlook,,,
REGTE,/rɛgtɛ/,regte,v.,negotiate,,,,
JUBɔ,/dʒubɔ/,juboo,n.,neighbor,,,,
NEZ,/nəz/,nez,n.,nephew,,,,
FɔLÍ,/fɔlir/,foolir,n.,nerve,,,,
LEYÂ,/ləjɑh/,leyaa,adj.,nervous, anxious,,,
MESEZ,/məsɛz/,mesez,n.,nest,,,,
MÄGIT,/mægit/,ma'git,n.,net,,,,
NE,/nɛ/,ne,adv.,never,,,,
ZAGI,/zɑgi/,zagi,adv.,nevertheless, regardless, even though,,
NEKÄGON,/nəkægon/,neka'gon,adj.,new,,,,
MɔKE,/mɔkɛ/,mooke,n.,news,,,,
Tɔ,/tɔ/,too,adj.,next,,,,
RE,/rə/,re,adj.,nice,,,,
KEJÍKÚZ,/kɛdʒirkurz/,kejirkurz,n.,niche,,,,
FESOT,/fɛsot/,fesot,n.,nickname,,,,
KÂGI,/kɑhgi/,kaagi,n.,niece,,,,
YÂLɔN,/jɑhlɔn/,yaaloon,n.,night, evening,,,
TÚJAN,/turdʒɑn/,turjan,n.,night,,,,
NÚ,/nur/,nur,num.,nine,,,,
YASMÚKÚK,/jɑsmurkurk/,yasmurkurk,interj.,no,,,,
NID,/nid/,nid,pron.,no, none,,,
NID,/nid/,nid,det.,no,,,,
NONVULTUZ,/nonvultuz/,nonvultuz,n.,noble,,,,
KÄNONVUL,/kænonvul/,ka'nonvul,adj.,noble, honorable,,,
HɔSYÚHIN,/hɔsjurhin/,hoosyurhin,adj.,noble,,,,
NONVULÍ,/nonvulir/,nonvulir,n.,nobleness, nobility,,,
NONVULZIL,/nonvulzil/,nonvulzil,adv.,nobly, honorably,,,
NETÍ,/nətir/,netir,v.,nod,,,,
FINYU,/finju/,finyu,n.,noise,,,,
MIGHÍSOS,/mighirsos/,mighirsos,n.,noise, rumor, scandal,,
JɔRUK,/dʒɔruk/,jooruk,v.,nominate,,,,
RIDI,/ridi/,ridi,pron.,none,,,,
GIPÍSIK,/gipirsik/,gipirsik,n.,noon, midday,,,
HɔNPISOH,/hɔnpisoh/,hoonpisoh,adj.,normal, regular, medium,,
MOKÚH,/mokurh/,mokurh,adj.,normal,,,,
BROM,/brom/,brom,n.,north,,,,
YÄNOTDÂ,/jænotdɑh/,ya'notdaa,n.,nose, nostril,,,
WIKBELYL,/wikbɛljl/,wikbelyl,n.,nose,,,,
TÂZ,/tɑhz/,taaz,adv.,not,,,,
NI,/ni/,ni,det.,not, no,,,
KUMUNOL,/kumunol/,kumunol,n.,note,,,,
NID,/nid/,nid,pron.,nothing,,,,
MEH,/məh/,meh,v.,notice,,,,
KÉHIZ,/keɪ̯hiz/,kaehiz,v.,notify, inform,,,
VIYÚ,/vijur/,viyur,n.,novel,,,,
HOTE,/hotɛ/,hote,n.,novice, rookie,,,
NU,/nu/,nu,adv.,now, currently, presently, yet, still
MÂH,/mɑhh/,maah,adv.,now, already,,,
MÉGETYS,/meɪ̯gɛtjs/,maegetys,adv.,now,,,,
METÍZOT,/mɛtirzot/,metirzot,adv.,nowadays,,,,
RASTÚKÚK,/rɑsturkurk/,rasturkurk,adv.,nowhere,,,,
KÂKÚH,/kɑhkurh/,kaakurh,n.,number,,,,
SAYIZOL,/sɑjizol/,sayizol,n.,number, statistic,,,
LIKÂNIK,/likɑhnik/,likaanik,n.,nurse,,,,
SAKMESÂN,/sɑkməsɑhn/,sakmesaan,n.,nursery,,,,
FU,/fu/,fu,n.,nut,,,,
TÍ,/tir/,tir,n.,nutrition,,,,
RÂGUZIH,/rɑhguzih/,raaguzih,n.,oasis,,,,
YÍLKOT,/jirlkot/,yirlkot,n.,oath,,,,
KUYUSɔS,/kujusɔs/,kuyusoos,adj.,obese,,,,
TUN,/tun/,tun,v.,obey,,,,
VEK,/vək/,vek,n.,object,,,,
ZAZ,/zɑz/,zaz,v.,oblige,,,,
DAT,/dɑt/,dat,v.,oblige, put (cause to be),,,
MɔPAK,/mɔpɑk/,moopak,adj.,obscure,,,,
TEN,/tən/,ten,v.,obsess,,,,
NANDÍ,/nɑndir/,nandir,v.,occur,,,,
ZÄT,/zæt/,za't,n.,ocean,,,,
DO,/do/,do,prep.,of, from, belonging to,,
DO,/do/,do,prep.,of,,,,
FOSJɔL,/fosdʒɔl/,fosjool,adv.,off,,,,
NUH,/nuh/,nuh,v.,offend,,,,
VÍGU,/virgu/,virgu,adj.,offensive,,,,
SEK,/sɛk/,sek,v.,offer,,,,
SA,/sɑ/,sa,v.,offer, bid,,,
VÄWI,/væwi/,va'wi,n.,offer,,,,
PÚNHɔZ,/purnhɔz/,purnhooz,n.,office,,,,
MÍKON,/mirkon/,mirkon,n.,officer,,,,
MOT,/mot/,mot,n.,offspring,,,,
KÚJE,/kurdʒɛ/,kurje,adv.,often,,,,
TUTYIS,/tutjis/,tutyis,n.,oil, grease,,,
JÄHGÄTIN,/dʒæhgætin/,ja'hga'tin,interj.,okay,,,,
SIG,/sig/,sig,adj.,old,,,,
WɔZYSVÂ,/wɔzjsvɑh/,woozysvaa,n.,olive,,,,
VÄZÚT,/væzurt/,va'zurt,prep.,on,,,,
NaU,/nau/,nau,prep.,on, upon, at, down upon,
KOKUNÂK,/kokunɑhk/,kokunaak,adv.,once,,,,
ONT,/ont/,ont,adv.,once, formerly, at one time, already,
DE,/də/,de,pron.,one,,,,
